8b,fetch_,fetch_,0,0,15
8c,addr_abs,op_STY_,0,0,15
8d,addr_abs,op_STA_,0,0,15
8e,addr_abs,op_STX_,0,0,15
8f,fetch_,fetch_,0,0,15
90,addr_relative,op_BCC_,1,1,15
91,addr_indexY,op_STA_,0,0,15
92,fetch_,fetch_,0,0,15
93,fetch_,fetch_,0,0,15
94,addr_zeroX,op_STY_,0,0,15
95,addr_zeroX,op_STA_,0,0,15
96,addr_zeroY,op_STX_,0,0,15
97,fetch_,fetch_,0,0,15
98,addr_none,op_TYA_,0,0,15
99,addr_absY,op_STA_,0,0,15
9a,addr_none,op_TXS_,0,0,15
9b,fetch_,fetch_,0,0,15
9c,fetch_,fetch_,0,0,15
9d,addr_absX,op_STA_,0,0,15
9e,fetch_,fetch_,0,0,15
9f,fetch_,fetch_,0,0,15
a0,addr_immed,op_LDY_,1,0,15
a1,addr_indexX,op_LDA_,1,0,15
a2,addr_immed,op_LDX_,1,0,15
a3,fetch_,fetch_,0,0,15
a4,addr_zero,op_LDY_,1,0,15
a5,addr_zero,op_LDA_,1,0,15
a6,addr_zero,op_LDX_,1,0,15
a7,fetch_,fetch_,0,0,15
a8,addr_none,op_TAY_,0,0,15
a9,addr_immed,op_LDA_,1,0,15
aa,addr_none,op_TAX_,0,0,15
ab,fetch_,fetch_,0,0,15
ac,addr_abs,op_LDY_,1,0,15
ad,addr_abs,op_LDA_,1,0,15
ae,addr_abs,op_LDX_,1,0,15
af,fetch_,fetch_,0,0,15
b0,addr_relative,op_BCS_,1,1,15
b1,addr_indexY,op_LDA_,1,1,15
b2,fetch_,fetch_,0,0,15
b3,fetch_,fetch_,0,0,15
b4,addr_zeroX,op_LDY_,1,0,15
b5,addr_zeroX,op_LDA_,1,0,15
b6,addr_zeroY,op_LDX_,1,0,15
b7,fetch_,fetch_,0,0,15
b8,addr_none,op_CLV_,0,0,15
b9,addr_absY,op_LDA_,1,1,15
ba,addr_none,op_TSX_,0,0,15
bb,fetch_,fetch_,0,0,15
bc,addr_absX,op_LDY_,1,1,15
bd,addr_absX,op_LDA_,1,1,15
be,addr_absY,op_LDX_,1,1,15
bf,fetch_,fetch_,0,0,15
c0,addr_immed,op_CPY_,1,0,15
c1,addr_indexX,op_CMP_,1,0,15
c2,fetch_,fetch_,0,0,15
c3,fetch_,fetch_,0,0,15
c4,addr_zero,op_CPY_,1,0,15
c5,addr_zero,op_CMP_,1,0,15
c6,addr_zero,op_DEC_,1,0,15
c7,fetch_,fetch_,0,0,15
c8,addr_none,op_INY_,0,0,15
c9,addr_immed,op_CMP_,1,0,15
ca,addr_none,op_DEX_,0,0,15
cb,fetch_,fetch_,0,0,15
cc,addr_abs,op_CPY_,1,0,15
cd,addr_abs,op_CMP_,1,0,15
ce,addr_abs,op_DEC_,1,0,15
cf,fetch_,fetch_,0,0,15
d0,addr_relative,op_BNE_,1,1,15
d1,addr_indexY,op_CMP_,1,1,15
d2,fetch_,fetch_,0,0,15
d3,fetch_,fetch_,0,0,15
d4,fetch_,fetch_,0,0,15
d5,addr_zeroX,op_CMP_,1,0,15
d6,addr_zeroX,op_DEC_,1,0,15
d7,fetch_,fetch_,0,0,15
d8,addr_none,op_CLD_,0,0,15
d9,addr_absY,op_CMP_,1,1,15
da,fetch_,fetch_,0,0,15
db,fetch_,fetch_,0,0,15
dc,fetch_,fetch_,0,0,15
dd,addr_absX,op_CMP_,1,1,15
de,addr_absX,op_DEC_,1,0,15
df,fetch_,fetch_,0,0,15
e0,addr_immed,op_CPX_,1,0,15
e1,addr_indexX,op_SBC_,1,0,15
e2,fetch_,fetch_,0,0,15
e3,fetch_,fetch_,0,0,15
e4,addr_zero,op_CPX_,1,0,15
e5,addr_zero,op_SBC_,1,0,15
e6,addr_zero,op_INC_,1,0,15
e7,fetch_,fetch_,0,0,15
e8,addr_none,op_INX_,0,0,15
e9,addr_immed,op_SBC_,1,0,15
ea,addr_none,op_NOP_,0,0,15
eb,fetch_,fetch_,0,0,15
ec,addr_abs,op_CPX_,1,0,15
ed,addr_abs,op_SBC_,1,0,15
ee,addr_abs,op_INC_,1,0,15
ef,fetch_,fetch_,0,0,15
f0,addr_relative,op_BEQ_,1,1,15
f1,addr_indexY,op_SBC_,1,1,15
f2,fetch_,fetch_,0,0,15
f3,fetch_,fetch_,0,0,15
f4,fetch_,fetch_,0,0,15
f5,addr_zeroX,op_SBC_,1,0,15
f6,addr_zeroX,op_INC_,1,0,15
f7,fetch_,fetch_,0,0,15
f8,addr_none,op_SED_,0,0,15
f9,addr_absY,op_SBC_,1,1,15
fa,fetch_,fetch_,0,0,15
fb,fetch_,fetch_,0,0,15
fc,fetch_,fetch_,0,0,15
fd,addr_absX,op_SBC_,1,1,15
fe,addr_absX,op_INC_,1,0,15
ff,fetch_,fetch_,0,0,15
